,사업장명,맛,친절,가성비,양,혼밥,청결,인테리어,특별한날,특별한메뉴,단체모임,깨끗한화장실,주차,뷰,신선한재료,넓은매장
0,교촌치킨 마천1호점,71,12,3,2,0,4,2,0,5,0,0,0,0,10,0
1,꼬쟁이,31,6,17,0,0,2,2,0,3,1,0,0,0,0,0
2,와이브루,0,7,8,0,0,1,0,0,4,0,0,0,1,0,0
3,노상치킨(신논현점),12,3,7,1,0,1,1,2,2,2,0,0,0,1,2
4,봉구스밥버거 인헌점,75,13,34,14,15,0,3,0,4,1,0,0,0,4,1
5,에이바이트델리 망원,9,9,3,0,1,5,4,0,2,4,1,0,1,4,4
6,바다향그대로,9,3,1,0,0,2,0,0,3,0,1,0,0,6,0
7,스시현,47,8,10,1,6,14,7,0,5,0,1,0,0,13,3
8,한국포차,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
9,로찌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,난랑,109,35,7,14,6,15,8,2,9,11,1,0,1,13,8
11,멍텅구리 꼼장어,54,20,8,1,0,2,0,0,8,7,1,0,1,8,3
12,이화수 염창점,161,31,23,52,22,28,0,1,6,1,2,0,3,15,13
13,회문가든,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,창고을만두,103,31,29,6,9,3,1,1,7,0,1,0,1,15,1
15,명품임실치즈피자,9,0,3,1,0,0,0,0,1,0,0,0,0,3,0
16,시골밥상,46,5,5,3,1,0,0,0,2,0,0,0,0,3,0
17,홍스(HONGS),0,56,7,0,0,40,55,0,15,0,11,0,0,0,0
18,BHC 비에이치씨 월곡점,48,10,6,3,1,0,2,1,3,1,0,0,0,6,2
19,두메골,28,6,12,9,1,2,0,0,0,5,0,0,0,6,7
20,육회공작소(미아삼거리점),31,15,7,4,1,9,5,1,4,2,0,0,0,9,2
21,해진식당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,스시 이치바,60,19,20,10,6,10,5,1,7,0,3,0,1,12,4
23,대원,104,32,9,14,4,18,23,9,27,26,1,0,10,35,22
24,보영만두 서초교대점,104,31,35,21,45,39,5,2,18,5,1,0,0,29,6
25,리커피 로스터스(Re coffee roasters),0,8,1,0,0,6,8,0,2,0,0,0,0,0,0
26,Bistro Min(비스트로민),52,26,9,14,12,9,8,8,17,1,1,0,0,17,1
27,에릭클랩튼(Eric Clapton),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,우주집,50,38,17,6,1,20,7,0,22,7,2,0,0,22,0
29,미성정육식당 홍대점,53,23,21,7,0,10,3,1,9,9,3,0,2,25,7
30,카페 브레멘,0,13,3,0,0,5,4,0,0,0,0,0,1,0,0
31,바우네나주곰탕 까치산역점,59,22,13,9,13,7,1,1,2,2,1,0,0,6,1
32,쉼표,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,산동꾸냥 수제만두,35,7,9,1,8,1,3,0,20,0,0,0,0,8,0
34,대성식당,10,4,1,1,2,1,0,0,0,0,0,0,0,2,0
35,황태해장국,87,14,11,9,8,6,1,0,0,0,0,0,0,10,1
